名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
柳沢紫子,2022-03,プレステージ・インターナショナルアランマーレ,10,6,8,1,5,45,14,3,31.1,24.4,0,0,0,3,14,0,3,3,2,2,0,17,,2.8,0.6,0.0,100.0
栗栖留生,2022-03,群馬銀行グリーンウイングス,14,6,7,1,13,0,0,0,,,0,0,0,0,0,0,0,0,61,35,11,0,,0.0,0.0,,66.4
槇森有香,2022-03,GSS東京サンビームズ,19,1,6,0,7,0,0,0,,,0,0,0,0,12,1,0,2,12,8,1,1,,0.0,0.0,12.5,70.8
横田実穂,2022-03,ルートインホテルズブリリアントアリーズ,16,9,2,3,11,9,3,0,33.3,33.3,0,0,0,1,41,1,3,16,0,0,0,5,,0.27,0.09,10.4,
櫻田桃奈,2022-03,GSS東京サンビームズ,13,1,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
正木七海,2022-03,群馬銀行グリーンウイングス,11,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
水谷真友,2022-03,ルートインホテルズブリリアントアリーズ,3,9,2,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中瑠奈,2022-03,群馬銀行グリーンウイングス,5,6,7,1,13,176,59,9,33.5,28.4,28,6,1,2,45,1,5,11,43,25,10,62,21.4,4.54,0.15,5.6,69.8
田中美紅,2022-03,ルートインホテルズブリリアントアリーズ,13,9,2,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田村愛美,2022-03,プレステージ・インターナショナルアランマーレ,8,2,3,0,5,2,0,0,0.0,0.0,0,0,0,0,23,0,3,3,1,0,0,0,,0.0,0.0,0.0,0.0
畠山初音,2022-03,GSS東京サンビームズ,26,4,8,1,12,0,0,0,,,0,0,0,0,0,0,0,0,32,22,2,0,,0.0,0.0,,71.9
石盛めるも,2022-03,プレステージ・インターナショナルアランマーレ,12,4,5,1,9,2,0,1,0.0,-50.0,0,0,0,1,21,1,0,5,0,0,0,2,,0.0,0.11,10.7,
色摩知巳,2022-03,GSS東京サンビームズ,5,4,8,1,12,108,25,5,23.1,18.5,3,0,0,1,30,0,0,7,4,3,0,26,0.0,2.08,0.08,5.8,75.0
草島華穂,2022-03,プレステージ・インターナショナルアランマーレ,9,6,8,1,7,30,3,4,10.0,-3.3,0,0,0,0,22,0,3,8,32,14,9,3,,0.43,0.0,5.7,57.8
菅原里奈,2022-03,プレステージ・インターナショナルアランマーレ,4,6,8,1,14,67,22,1,32.8,31.3,0,0,0,14,44,0,3,7,3,3,0,36,,1.57,1.0,2.3,100.0
菊地実結,2022-03,群馬銀行グリーンウイングス,3,6,7,1,5,25,11,2,44.0,36.0,0,0,0,2,17,0,1,1,0,0,0,13,,2.2,0.4,0.0,
菊地零,2022-03,GSS東京サンビームズ,10,1,6,0,4,0,0,0,,,0,0,0,0,8,0,1,2,0,0,0,0,,0.0,0.0,3.1,
藤井寧々,2022-03,群馬銀行グリーンウイングス,9,6,7,1,10,0,0,0,,,0,0,0,0,15,1,4,2,0,0,0,1,,0.0,0.0,3.3,
藤岡智恵美,2022-03,ルートインホテルズブリリアントアリーズ,2,9,2,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西條華子,2022-03,GSS東京サンビームズ,16,4,8,1,12,54,16,3,29.6,24.1,0,0,0,5,39,0,3,6,96,53,16,21,,1.33,0.42,1.9,63.5
角田南見,2022-03,プレステージ・インターナショナルアランマーレ,16,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
豊田みづき,2022-03,GSS東京サンビームズ,7,3,2,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
野上菜月,2022-03,ルートインホテルズブリリアントアリーズ,9,9,2,3,11,0,0,0,,,0,0,0,0,0,0,0,0,55,31,14,0,,0.0,0.0,,69.1
野嶋華鈴,2022-03,ルートインホテルズブリリアントアリーズ,10,6,2,2,5,7,4,1,57.1,42.9,0,0,0,0,15,0,1,3,13,9,2,4,,0.8,0.0,3.3,76.9
長尾のどか,2022-03,プレステージ・インターナショナルアランマーレ,14,4,5,1,9,0,0,0,,,0,0,0,0,0,0,0,0,38,29,4,0,,0.0,0.0,,81.6
高橋愛未,2022-03,ルートインホテルズブリリアントアリーズ,5,9,2,3,11,88,32,7,36.4,28.4,6,2,0,4,38,1,4,11,63,38,14,37,33.3,2.91,0.36,7.2,71.4
