AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
112,43,11,38.4,10.75,25,7,4,28.0,9,2.25,75,1,14,11,0.3,82,24.0,23.0,43.3,826,2022-02-12,2022,02,12,東京都,江戸川区スポーツセンター,長野GaRons,アイシンティルマーレ,篠崎寛,,1,3,4,Lose,74,99,90,13:00,14:39,0,大塚達也,関野智史,平泉淳,金廣美喜夫,Home,114,59,6,51.8,14.75,26,15,4,57.7,7,1.75,98,5,13,33,10.2,60,22.0,27.0,59.2
114,59,6,51.8,14.75,26,15,4,57.7,7,1.75,98,5,13,33,10.2,60,22.0,27.0,59.2,826,2022-02-12,2022,02,12,東京都,江戸川区スポーツセンター,アイシンティルマーレ,長野GaRons,鈴木康平,鈴木奨平,3,1,4,Win,99,74,90,13:00,14:39,0,大塚達也,関野智史,平泉淳,金廣美喜夫,Away,112,43,11,38.4,10.75,25,7,4,28.0,9,2.25,75,1,14,11,0.3,82,24.0,23.0,43.3
117,54,8,46.2,13.50,10,5,0,50.0,9,2.25,88,4,18,17,4.3,83,48.0,18.0,68.7,828,2022-02-13,2022,02,13,東京都,江戸川区スポーツセンター,トヨタモビリティ東京スパークル,長野GaRons,伊藤優介,松枝寿明,1,3,4,Lose,87,95,93,13:00,14:42,0,大塚達也,金廣祐介,明石直樹,柴田等,Home,117,54,8,46.2,13.50,21,10,3,47.6,10,2.50,94,2,10,16,3.7,67,34.0,15.0,61.9
117,54,8,46.2,13.50,21,10,3,47.6,10,2.50,94,2,10,16,3.7,67,34.0,15.0,61.9,828,2022-02-13,2022,02,13,東京都,江戸川区スポーツセンター,長野GaRons,トヨタモビリティ東京スパークル,篠崎寛,,3,1,4,Win,95,87,93,13:00,14:42,0,大塚達也,金廣祐介,明石直樹,柴田等,Away,117,54,8,46.2,13.50,10,5,0,50.0,9,2.25,88,4,18,17,4.3,83,48.0,18.0,68.7
156,71,10,45.5,14.20,22,14,1,63.6,9,1.80,112,5,12,26,7.6,94,60.0,11.0,69.7,829,2022-02-19,2022,02,19,長野県,須坂市市民体育館,長野GaRons,近畿クラブスフィーダ,篠崎寛,多田将希,2,3,5,Lose,111,109,122,13:00,15:14,0,小林朝実,中島俊昌,柄澤大輔,片平知之,Home,132,70,10,53.0,14.00,24,10,2,41.7,16,3.20,108,1,13,23,3.2,99,57.0,12.0,63.6
132,70,10,53.0,14.00,24,10,2,41.7,16,3.20,108,1,13,23,3.2,99,57.0,12.0,63.6,829,2022-02-19,2022,02,19,長野県,須坂市市民体育館,近畿クラブスフィーダ,長野GaRons,能登栄輔,高橋幸造,3,2,5,Win,109,111,122,13:00,15:14,0,小林朝実,中島俊昌,柄澤大輔,片平知之,Away,156,71,10,45.5,14.20,22,14,1,63.6,9,1.80,112,5,12,26,7.6,94,60.0,11.0,69.7
80,28,10,35.0,9.33,12,7,2,58.3,5,1.67,57,1,14,5,-2.2,62,31.0,14.0,61.3,830,2022-02-19,2022,02,19,長野県,須坂市市民体育館,トヨタモビリティ東京スパークル,アイシンティルマーレ,伊藤優介,松枝寿明,0,3,3,Lose,55,75,70,16:10,17:26,0,小林朝実,待井広光,宮島秀紀,小山昇,Home,95,39,9,41.1,13.00,19,7,1,36.8,5,1.67,73,4,10,14,6.8,43,27.0,10.0,74.4
95,39,9,41.1,13.00,19,7,1,36.8,5,1.67,73,4,10,14,6.8,43,27.0,10.0,74.4,830,2022-02-19,2022,02,19,長野県,須坂市市民体育館,アイシンティルマーレ,トヨタモビリティ東京スパークル,長嶋彰,鈴木奨平,3,0,3,Win,75,55,70,16:10,17:26,0,小林朝実,待井広光,宮島秀紀,小山昇,Away,80,28,10,35.0,9.33,12,7,2,58.3,5,1.67,57,1,14,5,-2.2,62,31.0,14.0,61.3
87,35,5,40.2,11.67,13,4,2,30.8,4,1.33,58,0,4,11,3.0,59,27.0,7.0,51.7,831,2022-02-20,2022,02,20,長野県,須坂市市民体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,56,75,73,11:00,12:19,0,小林朝実,中島俊昌,待井広光,片平知之,Home,84,45,5,53.6,15.00,21,16,2,76.2,6,2.00,73,8,10,21,14.7,54,25.0,18.0,63.0
84,45,5,53.6,15.00,21,16,2,76.2,6,2.00,73,8,10,21,14.7,54,25.0,18.0,63.0,831,2022-02-20,2022,02,20,長野県,須坂市市民体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,56,73,11:00,12:19,0,小林朝実,中島俊昌,待井広光,片平知之,Away,87,35,5,40.2,11.67,13,4,2,30.8,4,1.33,58,0,4,11,3.0,59,27.0,7.0,51.7
102,49,10,48.0,12.25,8,4,0,50.0,16,4.00,96,3,5,12,4.9,61,40.0,9.0,73.0,832,2022-02-20,2022,02,20,長野県,須坂市市民体育館,近畿クラブスフィーダ,トヨタモビリティ東京スパークル,能登栄輔,高橋幸造,3,1,4,Win,97,77,87,14:00,15:36,0,小林朝実,柄澤大輔,宮島秀紀,橋詰清美,Home,123,50,11,40.7,12.50,13,4,1,30.8,2,0.50,78,6,14,9,6.1,90,61.0,15.0,76.1
123,50,11,40.7,12.50,13,4,1,30.8,2,0.50,78,6,14,9,6.1,90,61.0,15.0,76.1,832,2022-02-20,2022,02,20,長野県,須坂市市民体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,1,3,4,Lose,77,97,87,14:00,15:36,0,小林朝実,柄澤大輔,宮島秀紀,橋詰清美,Away,102,49,10,48.0,12.25,8,4,0,50.0,16,4.00,96,3,5,12,4.9,61,40.0,9.0,73.0
130,58,5,44.6,14.50,22,10,1,45.5,7,1.75,89,1,12,20,3.4,87,47.0,21.0,66.1,821,2022-02-26,2022,02,26,長野県,須坂市市民体育館,長野GaRons,近畿クラブスフィーダ,篠崎寛,多田将希,1,3,4,Lose,88,99,102,13:00,14:51,0,村上成司,赤川孝義,北原良太,小山昇,Home,124,61,7,49.2,15.25,17,10,0,58.8,16,4.00,98,1,11,19,3.1,77,39.0,20.0,63.6
124,61,7,49.2,15.25,17,10,0,58.8,16,4.00,98,1,11,19,3.1,77,39.0,20.0,63.6,821,2022-02-26,2022,02,26,長野県,須坂市市民体育館,近畿クラブスフィーダ,長野GaRons,能登栄輔,高橋幸造,3,1,4,Win,99,88,102,13:00,14:51,0,村上成司,赤川孝義,北原良太,小山昇,Away,130,58,5,44.6,14.50,22,10,1,45.5,7,1.75,89,1,12,20,3.4,87,47.0,21.0,66.1
135,58,18,43.0,14.50,25,9,7,36.0,16,4.00,90,0,12,17,1.4,93,49.0,23.0,65.1,824,2022-02-27,2022,02,27,長野県,須坂市市民体育館,長野GaRons,近畿クラブスフィーダ,篠崎寛,多田将希,1,3,4,Lose,89,102,105,11:00,12:54,0,村上成司,北原良太,赤川孝義,橋詰清美,Home,128,55,6,43.0,13.75,19,10,1,52.6,12,3.00,101,2,8,19,4.7,78,40.0,21.0,64.7
128,55,6,43.0,13.75,19,10,1,52.6,12,3.00,101,2,8,19,4.7,78,40.0,21.0,64.7,824,2022-02-27,2022,02,27,長野県,須坂市市民体育館,近畿クラブスフィーダ,長野GaRons,能登栄輔,高橋幸造,3,1,4,Win,102,89,105,11:00,12:54,0,村上成司,北原良太,赤川孝義,橋詰清美,Away,135,58,18,43.0,14.50,25,9,7,36.0,16,4.00,90,0,12,17,1.4,93,49.0,23.0,65.1
146,69,12,47.3,13.80,20,8,5,40.0,8,1.60,123,2,10,16,2.8,96,44.0,25.0,58.9,833,2022-03-05,2022,03,05,長野県,須坂市市民体育館,長野GaRons,トヨタモビリティ東京スパークル,篠崎寛,多田将希,3,2,5,Win,124,120,129,13:00,15:21,0,大塚達也,立花法真沙,木下智宏,小山昇,Home,167,78,15,46.7,15.60,15,6,3,40.0,9,1.80,121,10,21,21,8.3,112,67.0,28.0,72.3
167,78,15,46.7,15.60,15,6,3,40.0,9,1.80,121,10,21,21,8.3,112,67.0,28.0,72.3,833,2022-03-05,2022,03,05,長野県,須坂市市民体育館,トヨタモビリティ東京スパークル,長野GaRons,伊藤優介,松枝寿明,2,3,5,Lose,120,124,129,13:00,15:21,0,大塚達也,立花法真沙,木下智宏,小山昇,Away,146,69,12,47.3,13.80,20,8,5,40.0,8,1.60,123,2,10,16,2.8,96,44.0,25.0,58.9
149,59,14,39.6,14.75,17,9,3,52.9,5,1.25,106,1,17,21,1.9,83,41.0,19.0,60.8,834,2022-03-05,2022,03,05,長野県,須坂市市民体育館,近畿クラブスフィーダ,アイシンティルマーレ,能登栄輔,高橋幸造,3,1,4,Win,107,107,118,16:20,18:27,0,大塚達也,柄澤大輔,北條龍司,片平知之,Home,154,64,14,41.6,16.00,32,17,5,53.1,6,1.50,108,4,23,21,3.2,88,55.0,12.0,69.3
154,64,14,41.6,16.00,32,17,5,53.1,6,1.50,108,4,23,21,3.2,88,55.0,12.0,69.3,834,2022-03-05,2022,03,05,長野県,須坂市市民体育館,アイシンティルマーレ,近畿クラブスフィーダ,長嶋彰,鈴木奨平,1,3,4,Lose,107,107,118,16:20,18:27,0,大塚達也,柄澤大輔,北條龍司,片平知之,Away,149,59,14,39.6,14.75,17,9,3,52.9,5,1.25,106,1,17,21,1.9,83,41.0,19.0,60.8
156,78,13,50.0,15.60,28,14,4,50.0,10,2.00,111,5,9,39,11.3,96,41.0,18.0,52.1,835,2022-03-06,2022,03,06,長野県,須坂市市民体育館,長野GaRons,近畿クラブスフィーダ,篠崎寛,多田将希,3,2,5,Win,111,107,121,11:00,13:13,0,大塚達也,柄澤大輔,北條龍司,嶋田和明,Home,146,66,8,45.2,13.20,16,8,1,50.0,10,2.00,107,5,10,33,10.0,98,42.0,17.0,51.5
146,66,8,45.2,13.20,16,8,1,50.0,10,2.00,107,5,10,33,10.0,98,42.0,17.0,51.5,835,2022-03-06,2022,03,06,長野県,須坂市市民体育館,近畿クラブスフィーダ,長野GaRons,能登栄輔,高橋幸造,2,3,5,Lose,107,111,121,11:00,13:13,0,大塚達也,柄澤大輔,北條龍司,嶋田和明,Away,156,78,13,50.0,15.60,28,14,4,50.0,10,2.00,111,5,9,39,11.3,96,41.0,18.0,52.1
80,29,2,36.2,9.67,12,4,0,33.3,2,0.67,52,1,12,9,0.5,61,28.0,16.0,59.0,836,2022-03-06,2022,03,06,長野県,須坂市市民体育館,トヨタモビリティ東京スパークル,アイシンティルマーレ,伊藤優介,松枝寿明,0,3,3,Lose,50,75,65,14:10,15:21,0,大塚達也,立花法真沙,山条康弘,片平知之,Home,84,45,5,53.6,15.00,13,6,0,46.2,4,1.33,73,6,9,13,9.6,40,24.0,6.0,67.5
84,45,5,53.6,15.00,13,6,0,46.2,4,1.33,73,6,9,13,9.6,40,24.0,6.0,67.5,836,2022-03-06,2022,03,06,長野県,須坂市市民体育館,アイシンティルマーレ,トヨタモビリティ東京スパークル,長嶋彰,鈴木奨平,3,0,3,Win,75,50,65,14:10,15:21,0,大塚達也,立花法真沙,山条康弘,片平知之,Away,80,29,2,36.2,9.67,12,4,0,33.3,2,0.67,52,1,12,9,0.5,61,28.0,16.0,59.0
116,55,8,47.4,13.75,30,13,4,43.3,13,3.25,95,2,16,20,3.2,77,28.0,34.0,58.4,837,2022-03-12,2022,03,12,愛知県,碧南市臨海体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,1,4,Win,96,89,100,14:00,15:49,0,小野将人,天野圭祐,小林隆行,田中栄二,Home,128,54,13,42.2,13.50,26,11,4,42.3,6,1.50,90,2,11,15,3.3,79,32.0,25.0,56.3
128,54,13,42.2,13.50,26,11,4,42.3,6,1.50,90,2,11,15,3.3,79,32.0,25.0,56.3,837,2022-03-12,2022,03,12,愛知県,碧南市臨海体育館,長野GaRons,アイシンティルマーレ,篠崎寛,,1,3,4,Lose,89,96,100,14:00,15:49,0,小野将人,天野圭祐,小林隆行,田中栄二,Away,116,55,8,47.4,13.75,30,13,4,43.3,13,3.25,95,2,16,20,3.2,77,28.0,34.0,58.4
136,64,13,47.1,16.00,24,10,3,41.7,9,2.25,101,1,11,14,1.7,80,42.0,22.0,66.2,838,2022-03-12,2022,03,12,愛知県,碧南市臨海体育館,近畿クラブスフィーダ,トヨタモビリティ東京スパークル,能登栄輔,有薗亮平,3,1,4,Win,102,94,105,16:40,18:34,0,塚本健,北浦陽介,杉浦諒祐,水越義雄,Home,127,55,12,43.3,13.75,13,2,4,15.4,8,2.00,95,1,15,15,1.1,89,48.0,27.0,69.1
127,55,12,43.3,13.75,13,2,4,15.4,8,2.00,95,1,15,15,1.1,89,48.0,27.0,69.1,838,2022-03-12,2022,03,12,愛知県,碧南市臨海体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,1,3,4,Lose,94,102,105,16:40,18:34,0,塚本健,北浦陽介,杉浦諒祐,水越義雄,Away,136,64,13,47.1,16.00,24,10,3,41.7,9,2.25,101,1,11,14,1.7,80,42.0,22.0,66.2
153,68,9,44.4,13.60,37,17,3,45.9,10,2.00,107,3,16,25,4.9,86,56.0,10.0,70.9,839,2022-03-13,2022,03,13,愛知県,碧南市臨海体育館,アイシンティルマーレ,近畿クラブスフィーダ,長嶋彰,鈴木奨平,3,2,5,Win,107,96,116,11:00,13:08,0,塚本健,天野圭祐,小林隆行,大津聡,Home,144,52,12,36.1,10.40,30,10,3,33.3,10,2.00,96,3,8,19,6.0,91,52.0,11.0,63.2
144,52,12,36.1,10.40,30,10,3,33.3,10,2.00,96,3,8,19,6.0,91,52.0,11.0,63.2,839,2022-03-13,2022,03,13,愛知県,碧南市臨海体育館,近畿クラブスフィーダ,アイシンティルマーレ,能登栄輔,有薗亮平,2,3,5,Lose,96,107,116,11:00,13:08,0,塚本健,天野圭祐,小林隆行,大津聡,Away,153,68,9,44.4,13.60,37,17,3,45.9,10,2.00,107,3,16,25,4.9,86,56.0,10.0,70.9
103,52,5,50.5,13.00,33,14,0,42.4,7,1.75,98,6,11,19,8.2,72,21.0,20.0,43.1,840,2022-03-13,2022,03,13,愛知県,碧南市臨海体育館,長野GaRons,トヨタモビリティ東京スパークル,篠崎寛,,3,1,4,Win,99,89,95,14:10,15:54,0,小野将人,北浦陽介,杉浦諒祐,松本冴香,Home,118,59,12,50.0,14.75,14,7,3,50.0,7,1.75,90,3,16,30,7.2,84,31.0,31.0,55.4
118,59,12,50.0,14.75,14,7,3,50.0,7,1.75,90,3,16,30,7.2,84,31.0,31.0,55.4,840,2022-03-13,2022,03,13,愛知県,碧南市臨海体育館,トヨタモビリティ東京スパークル,長野GaRons,伊藤優介,松枝寿明,1,3,4,Lose,89,99,95,14:10,15:54,0,小野将人,北浦陽介,杉浦諒祐,松本冴香,Away,103,52,5,50.5,13.00,33,14,0,42.4,7,1.75,98,6,11,19,8.2,72,21.0,20.0,43.1
