試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,18,,笹岡歩夢,4,■,■,□,■,nan,4,2,0,50.0,50.0,0.50,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,2
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,19,,奥原蓮,4,■,■,■,■,nan,30,8,2,26.7,20.0,2.00,6,1,0,16.7,2,0.50,13,0,4,1,-5.8,31,13,10,58.1,10
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,112,43,11,38.4,28.6,10.75,25,7,4,28.0,9,2.25,75,1,14,11,0.3,82,24,23,43.3,53
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,1,,滝沢優樹,3,□,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-,0
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,3,,水野将司,4,■,■,■,■,nan,16,9,0,56.2,56.2,2.25,0,0,0,-,4,1.00,8,0,0,1,3.1,1,0,0,0.0,13
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,4,,斎藤総人,4,■,■,■,■,nan,25,13,2,52.0,44.0,3.25,6,3,2,50.0,1,0.25,19,2,3,4,11.8,18,9,8,72.2,16
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,5,,井澤大輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,6,,新保遥己,4,■,■,■,■,nan,31,16,2,51.6,45.2,4.00,15,9,2,60.0,1,0.25,15,1,5,5,6.7,0,0,0,-,18
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,7,,久保下航平,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,1,0.25,17,2,1,6,19.1,0,0,0,-,4
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,8,L,安田剛,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,9,,佐々木優汰,4,■,■,■,■,nan,12,6,2,50.0,33.3,1.50,0,0,0,-,0,-,17,0,0,7,10.3,0,0,0,-,6
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,10,L,鈴木康平,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,10,10,57.7,0
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,15,,杉本峻作,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
