AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
121,55,10,45.5,13.75,35,16,4,45.7,8,2.00,80,1,19,9,-1.9,85,46.0,26.0,69.4,117,2018-11-04,2018,11,04,,福井県営体育館,大分三好ヴァイセアドラー,ジェイテクトSTINGS,小川貴史,小林尚登,1,3,4,Lose,79,98,100,12:00,13:49,1100,伊藤博之,原啓之,江下毅,田畑亮祐,Away,102,49,5,48.0,12.25,18,7,2,38.9,13,3.25,97,4,10,13,4.9,60,34.0,17.0,70.8
70,45,3,64.3,15.00,10,9,0,90.0,6,2.00,75,3,14,9,2.3,45,25.0,11.0,67.8,118,2018-11-04,2018,11,04,,福井県営体育館,パナソニックパンサーズ,豊田合成トレフェルサ,川村慎二,行武広貴,3,0,3,Win,76,61,89,15:00,16:35,1500,伊藤博之,服部篤史,森口豊,田畑亮祐,Home,71,35,4,49.3,11.67,16,4,2,25.0,6,2.00,62,3,16,7,1.2,60,41.0,8.0,75.0
71,35,4,49.3,11.67,16,4,2,25.0,6,2.00,62,3,16,7,1.2,60,41.0,8.0,75.0,118,2018-11-04,2018,11,04,,福井県営体育館,豊田合成トレフェルサ,パナソニックパンサーズ,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,深津貴之,0,3,3,Lose,61,76,89,15:00,16:35,1500,伊藤博之,服部篤史,森口豊,田畑亮祐,Away,70,45,3,64.3,15.00,10,9,0,90.0,6,2.00,75,3,14,9,2.3,45,25.0,11.0,67.8
74,43,5,58.1,14.33,17,11,2,64.7,9,3.00,73,2,12,18,4.8,53,27.0,15.0,65.1,116,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,JTサンダーズ,VC長野トライデンツ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,菅直哉,3,0,3,Win,75,61,75,15:00,16:28,1600,石井洋壮,山本和良,千代延靖夫,友成文恵,Home,87,42,9,48.3,14.00,11,4,3,36.4,0,0.00,63,0,10,11,0.4,61,26.0,17.0,56.6
87,42,9,48.3,14.00,11,4,3,36.4,0,0.00,63,0,10,11,0.4,61,26.0,17.0,56.6,116,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,VC長野トライデンツ,JTサンダーズ,笹川星哉,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,0,3,3,Lose,61,75,75,15:00,16:28,1600,石井洋壮,山本和良,千代延靖夫,友成文恵,Away,74,43,5,58.1,14.33,17,11,2,64.7,9,3.00,73,2,12,18,4.8,53,27.0,15.0,65.1
72,37,6,51.4,12.33,16,9,3,56.2,6,2.00,59,1,9,11,2.5,60,22.0,19.0,52.5,119,2018-11-10,2018,11,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,ジェイテクトSTINGS,JTサンダーズ,高橋慎治,若山智昭,0,3,3,Lose,57,75,68,13:00,14:14,2400,伊藤博之,江下毅,村中伸,渡部あかね,Home,70,41,4,58.6,13.67,13,8,0,61.5,7,2.33,73,7,9,16,12.0,50,21.0,17.0,59.0
70,41,4,58.6,13.67,13,8,0,61.5,7,2.33,73,7,9,16,12.0,50,21.0,17.0,59.0,119,2018-11-10,2018,11,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,JTサンダーズ,ジェイテクトSTINGS,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,3,0,3,Win,75,57,68,13:00,14:14,2400,伊藤博之,江下毅,村中伸,渡部あかね,Away,72,37,6,51.4,12.33,16,9,3,56.2,6,2.00,59,1,9,11,2.5,60,22.0,19.0,52.5
105,58,6,55.2,14.50,14,3,2,21.4,9,2.25,95,5,13,25,8.4,65,30.0,19.0,60.8,121,2018-11-10,2018,11,10,,墨田区総合体育館,FC東京,大分三好ヴァイセアドラー,ﾛﾃﾞｨｱﾚｯｻﾝﾄﾞﾛ,坂本将康,3,1,4,Win,96,78,95,13:00,14:51,1800,大塚達也,桑原健輔,高橋宏明,塚本健二,Home,112,51,6,45.5,12.75,26,16,0,61.5,5,1.25,79,1,13,16,2.2,79,24.0,28.0,48.1
112,51,6,45.5,12.75,26,16,0,61.5,5,1.25,79,1,13,16,2.2,79,24.0,28.0,48.1,121,2018-11-10,2018,11,10,,墨田区総合体育館,大分三好ヴァイセアドラー,FC東京,小川貴史,小林尚登,1,3,4,Lose,78,96,95,13:00,14:51,1800,大塚達也,桑原健輔,高橋宏明,塚本健二,Away,105,58,6,55.2,14.50,14,3,2,21.4,9,2.25,95,5,13,25,8.4,65,30.0,19.0,60.8
110,55,6,50.0,13.75,18,5,3,27.8,5,1.25,93,3,16,21,4.6,76,33.0,16.0,53.9,120,2018-11-10,2018,11,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,豊田合成トレフェルサ,サントリーサンバーズ,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,ｸﾘｽﾃｨｱﾝｿﾝｱﾝﾃﾞｨｯｼｭ,1,3,4,Lose,92,99,116,16:00,18:05,1000,伊藤博之,國頭亮太,山本和良,中倉文菜,Home,108,61,7,56.5,15.25,33,16,4,48.5,8,2.00,98,5,19,25,6.6,76,38.0,15.0,59.9
