AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
146,47,9,32.2,15.67,4,3,0,75.0,4,1.33,59,2,0,13,8.9,79,42.0,9.0,58.9,378,2020-12-06,2020,12,06,佐賀県,SAGAサンライズパーク総合体育館,岡山シーガルズ,JTマーヴェラス,河本昭義,吉田啓佑,0,3,3,Lose,58,84,87,15:05,16:38,739,加治健男,山本晋五,林淳一,久保温子,Away,142,65,1,45.8,21.67,19,12,0,63.2,5,1.67,83,3,3,28,11.1,58,37.0,8.0,70.7
109,38,10,34.9,12.67,6,1,0,16.7,17,5.67,74,3,4,26,11.5,59,22.0,19.0,53.4,384,2021-01-16,2021,01,16,愛知県,ウィングアリーナ刈谷,日立リヴァーレ,KUROBEアクアフェアリーズ,多治見麻子,達川和彦,3,0,3,Win,75,64,84,12:00,13:30,0,廣田修二,内藤聡美,城智人,田中栄二,Home,132,39,9,29.5,13.00,17,5,2,29.4,9,3.00,65,2,5,17,7.7,70,17.0,26.0,42.9
132,39,9,29.5,13.00,17,5,2,29.4,9,3.00,65,2,5,17,7.7,70,17.0,26.0,42.9,384,2021-01-16,2021,01,16,愛知県,ウィングアリーナ刈谷,KUROBEアクアフェアリーズ,日立リヴァーレ,丸山貴也,武田義也,0,3,3,Lose,64,75,84,12:00,13:30,0,廣田修二,内藤聡美,城智人,田中栄二,Away,109,38,10,34.9,12.67,6,1,0,16.7,17,5.67,74,3,4,26,11.5,59,22.0,19.0,53.4
209,70,10,33.5,14.00,12,2,1,16.7,5,1.00,108,11,4,33,16.9,92,35.0,24.0,51.1,385,2021-01-16,2021,01,16,兵庫県,ヴィクトリーナ・ウインク体育館（姫路市立中央体育館）,ヴィクトリーナ姫路,久光スプリングス,中谷宏大,高橋駿,3,2,5,Win,108,101,131,13:00,15:23,677,石井洋壮,吉岡奈々,岡田崇,望月隆司,Home,176,69,10,39.2,13.80,6,1,0,16.7,14,2.80,101,3,9,31,8.4,102,44.0,18.0,52.0
176,69,10,39.2,13.80,6,1,0,16.7,14,2.80,101,3,9,31,8.4,102,44.0,18.0,52.0,385,2021-01-16,2021,01,16,兵庫県,ヴィクトリーナ・ウインク体育館（姫路市立中央体育館）,久光スプリングス,ヴィクトリーナ姫路,酒井新悟,大久保茂和,2,3,5,Lose,101,108,131,13:00,15:23,677,石井洋壮,吉岡奈々,岡田崇,望月隆司,Away,209,70,10,33.5,14.00,12,2,1,16.7,5,1.00,108,11,4,33,16.9,92,35.0,24.0,51.1
127,38,10,29.9,12.67,3,1,1,33.3,6,2.00,56,0,2,8,2.7,68,34.0,18.0,63.2,387,2021-01-16,2021,01,16,岡山県,ジップアリーナ岡山,岡山シーガルズ,東レアローズ,河本昭義,吉田啓佑,0,3,3,Lose,54,75,72,13:05,14:23,1080,塚本健,澤達大,中西幸治,真鍋美也子,Home,130,50,6,38.5,16.67,16,6,2,37.5,6,2.00,73,6,3,12,11.3,54,30.0,16.0,70.4
130,50,6,38.5,16.67,16,6,2,37.5,6,2.00,73,6,3,12,11.3,54,30.0,16.0,70.4,387,2021-01-16,2021,01,16,岡山県,ジップアリーナ岡山,東レアローズ,岡山シーガルズ,越谷章,高杉洋平,3,0,3,Win,75,54,72,13:05,14:23,1080,塚本健,澤達大,中西幸治,真鍋美也子,Away,127,38,10,29.9,12.67,3,1,1,33.3,6,2.00,56,0,2,8,2.7,68,34.0,18.0,63.2
162,67,4,41.4,16.75,13,5,1,38.5,8,2.00,101,5,15,27,7.9,74,39.0,19.0,65.5,388,2021-01-16,2021,01,16,岡山県,ジップアリーナ岡山,埼玉上尾メディックス,PFUブルーキャッツ,ｱﾝﾄﾆｵﾏﾙｺｽﾚﾙﾊﾞｯｷ,蓑輪貴幸,3,1,4,Win,102,82,111,15:30,17:30,680,塚本健,高橋宏明,増岡三佳子,大西英和,Home,168,52,10,31.0,13.00,12,1,2,8.3,5,1.25,83,2,8,15,4.5,85,21.0,33.0,44.1
168,52,10,31.0,13.00,12,1,2,8.3,5,1.25,83,2,8,15,4.5,85,21.0,33.0,44.1,388,2021-01-16,2021,01,16,岡山県,ジップアリーナ岡山,PFUブルーキャッツ,埼玉上尾メディックス,坂本将康,舟越悠二,1,3,4,Lose,82,102,111,15:30,17:30,680,塚本健,高橋宏明,増岡三佳子,大西英和,Away,162,67,4,41.4,16.75,13,5,1,38.5,8,2.00,101,5,15,27,7.9,74,39.0,19.0,65.5
195,79,6,40.5,15.80,30,9,2,30.0,5,1.00,102,3,11,21,5.4,104,62.0,23.0,70.7,386,2021-01-16,2021,01,16,兵庫県,ヴィクトリーナ・ウインク体育館（姫路市立中央体育館）,JTマーヴェラス,NECレッドロケッツ,吉原知子,丹山禎昭,2,3,5,Lose,101,110,117,16:15,18:24,386,石井洋壮,戸川太輔,千代延靖夫,望月隆司,Home,186,79,9,42.5,15.80,33,16,3,48.5,13,2.60,109,1,5,18,3.9,90,43.0,24.0,61.1
186,79,9,42.5,15.80,33,16,3,48.5,13,2.60,109,1,5,18,3.9,90,43.0,24.0,61.1,386,2021-01-16,2021,01,16,兵庫県,ヴィクトリーナ・ウインク体育館（姫路市立中央体育館）,NECレッドロケッツ,JTマーヴェラス,金子隆行,西原康平,3,2,5,Win,110,101,117,16:15,18:24,386,石井洋壮,戸川太輔,千代延靖夫,望月隆司,Away,195,79,6,40.5,15.80,30,9,2,30.0,5,1.00,102,3,11,21,5.4,104,62.0,23.0,70.7
