AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
135,41,12,30.4,10.25,16,2,2,12.5,8,2.00,65,0,4,28,10.8,94,35.0,0.0,37.2,517,2012-01-08,2012,01,08,,西尾市総合体育館,パイオニアレッドウィングス,東レアローズ,宮下直樹,舟越悠二,1,3,4,Lose,64,98,84,13:00,14:13,2170,,高橋弘二,戸川太輔,大津聡,Away,139,59,9,42.4,14.75,17,7,2,41.2,10,2.50,97,7,2,53,19.6,61,33.0,0.0,54.1
128,59,6,46.1,14.75,23,11,1,47.8,10,2.50,94,8,5,31,15.5,60,48.0,0.0,80.0,519,2012-01-08,2012,01,08,,大阪府立体育会館,久光製薬スプリングス,岡山シーガルズ,大東雅史,野中俊英,3,1,4,Win,95,65,89,13:05,14:43,2400,,江下毅,西中野健,宮階和世,Home,141,47,9,33.3,11.75,4,1,0,25.0,1,0.25,66,3,6,9,7.0,87,50.0,0.0,57.5
141,47,9,33.3,11.75,4,1,0,25.0,1,0.25,66,3,6,9,7.0,87,50.0,0.0,57.5,519,2012-01-08,2012,01,08,,大阪府立体育会館,岡山シーガルズ,久光製薬スプリングス,溝田知茂,吉田啓佑,1,3,4,Lose,65,95,89,13:05,14:43,2400,,江下毅,西中野健,宮階和世,Away,128,59,6,46.1,14.75,23,11,1,47.8,10,2.50,94,8,5,31,15.5,60,48.0,0.0,80.0
122,42,9,34.4,14.00,17,5,3,29.4,4,1.33,61,0,5,23,9.4,66,40.0,0.0,60.6,520,2012-01-08,2012,01,08,,大阪府立体育会館,JTマーヴェラス,トヨタ車体クインシーズ,石原昭久,尾﨑侯,0,3,3,Lose,59,75,76,15:15,16:37,2300,,北村友香,印藤智一,永江雅之,Home,117,49,7,41.9,16.33,1,0,0,0.0,5,1.67,73,7,6,20,14.8,56,33.0,0.0,58.9
117,49,7,41.9,16.33,1,0,0,0.0,5,1.67,73,7,6,20,14.8,56,33.0,0.0,58.9,520,2012-01-08,2012,01,08,,大阪府立体育会館,トヨタ車体クインシーズ,JTマーヴェラス,葛和伸元,高橋悠,3,0,3,Win,75,59,76,15:15,16:37,2300,,北村友香,印藤智一,永江雅之,Away,122,42,9,34.4,14.00,17,5,3,29.4,4,1.33,61,0,5,23,9.4,66,40.0,0.0,60.6
119,37,4,31.1,9.25,3,0,1,0.0,13,3.25,79,7,5,28,17.0,82,42.0,0.0,51.2,518,2012-01-08,2012,01,08,,西尾市総合体育館,NECレッドロケッツ,デンソーエアリービーズ,山田晃豊,大村悟,1,3,4,Lose,78,98,91,15:20,17:00,2050,,村中伸,明井寿枝,岡田三千雄,Home,75,38,6,50.7,9.50,1,0,1,0.0,7,1.75,82,6,8,31,15.8,70,39.0,0.0,55.7
75,38,6,50.7,9.50,1,0,1,0.0,7,1.75,82,6,8,31,15.8,70,39.0,0.0,55.7,518,2012-01-08,2012,01,08,,西尾市総合体育館,デンソーエアリービーズ,NECレッドロケッツ,達川実,戸澤勉,3,1,4,Win,98,78,91,15:20,17:00,2050,,村中伸,明井寿枝,岡田三千雄,Away,119,37,4,31.1,9.25,3,0,1,0.0,13,3.25,79,7,5,28,17.0,82,42.0,0.0,51.2
119,53,6,44.5,17.67,1,0,0,0.0,6,2.00,74,3,7,25,12.0,55,42.0,0.0,76.4,521,2012-01-14,2012,01,14,,ウカルちゃんアリーナ（滋賀県立体育館）,トヨタ車体クインシーズ,NECレッドロケッツ,葛和伸元,高橋悠,3,0,3,Win,75,61,75,13:05,14:26,3110,,田野敏彦,佐野裕基,山本英司,Home,111,41,4,36.9,13.67,11,1,2,9.1,5,1.67,62,1,7,12,6.1,66,39.0,0.0,59.1
111,41,4,36.9,13.67,11,1,2,9.1,5,1.67,62,1,7,12,6.1,66,39.0,0.0,59.1,521,2012-01-14,2012,01,14,,ウカルちゃんアリーナ（滋賀県立体育館）,NECレッドロケッツ,トヨタ車体クインシーズ,山田晃豊,大村悟,0,3,3,Lose,61,75,75,13:05,14:26,3110,,田野敏彦,佐野裕基,山本英司,Away,119,53,6,44.5,17.67,1,0,0,0.0,6,2.00,74,3,7,25,12.0,55,42.0,0.0,76.4
105,40,4,38.1,13.33,6,2,0,33.3,5,1.67,59,1,5,18,9.3,68,37.0,0.0,54.4,523,2012-01-14,2012,01,14,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,パイオニアレッドウィングス,久光製薬スプリングス,宮下直樹,舟越悠二,0,3,3,Lose,58,75,71,14:00,15:17,1800,,HeungFaiLEE,千代延靖夫,北村恵美子,Home,114,52,5,45.6,17.33,16,6,0,37.5,4,1.33,74,7,5,25,16.3,53,35.0,0.0,66.0
114,52,5,45.6,17.33,16,6,0,37.5,4,1.33,74,7,5,25,16.3,53,35.0,0.0,66.0,523,2012-01-14,2012,01,14,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,久光製薬スプリングス,パイオニアレッドウィングス,大東雅史,野中俊英,3,0,3,Win,75,58,71,14:00,15:17,1800,,HeungFaiLEE,千代延靖夫,北村恵美子,Away,105,40,4,38.1,13.33,6,2,0,33.3,5,1.67,59,1,5,18,9.3,68,37.0,0.0,54.4
175,65,11,37.1,13.00,12,2,2,16.7,5,1.00,99,5,13,35,13.5,89,48.0,0.0,53.9,522,2012-01-14,2012,01,14,,ウカルちゃんアリーナ（滋賀県立体育館）,東レアローズ,JTマーヴェラス,菅野幸一郎,福田康弘,3,2,5,Win,100,104,113,15:05,17:10,3110,,山本和良,グレッグ・ルーオー,野田達也,Home,158,68,9,43.0,13.60,8,3,1,37.5,9,1.80,105,3,15,39,11.8,83,46.0,0.0,55.4
158,68,9,43.0,13.60,8,3,1,37.5,9,1.80,105,3,15,39,11.8,83,46.0,0.0,55.4,522,2012-01-14,2012,01,14,,ウカルちゃんアリーナ（滋賀県立体育館）,JTマーヴェラス,東レアローズ,石原昭久,尾﨑侯,2,3,5,Lose,104,100,113,15:05,17:10,3110,,山本和良,グレッグ・ルーオー,野田達也,Away,175,65,11,37.1,13.00,12,2,2,16.7,5,1.00,99,5,13,35,13.5,89,48.0,0.0,53.9
132,42,7,31.8,14.00,1,0,0,0.0,7,2.33,64,1,4,23,10.2,65,41.0,0.0,63.1,524,2012-01-14,2012,01,14,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,岡山シーガルズ,デンソーエアリービーズ,溝田知茂,中田聖子,0,3,3,Lose,62,75,78,16:05,17:29,2100,,塚本健,西中野健,大西英和,Home,76,25,2,32.9,8.33,1,0,0,0.0,6,2.00,62,3,5,20,12.3,60,36.0,0.0,60.0
76,25,2,32.9,8.33,1,0,0,0.0,6,2.00,62,3,5,20,12.3,60,36.0,0.0,60.0,524,2012-01-14,2012,01,14,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,デンソーエアリービーズ,岡山シーガルズ,達川実,戸澤勉,3,0,3,Win,75,62,78,16:05,17:29,2100,,塚本健,西中野健,大西英和,Away,132,42,7,31.8,14.00,1,0,0,0.0,7,2.33,64,1,4,23,10.2,65,41.0,0.0,63.1
85,27,6,31.8,6.75,3,0,0,0.0,6,1.50,77,5,3,27,14.0,76,45.0,0.0,59.2,527,2012-01-15,2012,01,15,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,デンソーエアリービーズ,久光製薬スプリングス,達川実,戸澤勉,3,1,4,Win,95,79,93,13:00,14:42,2200,,千代延靖夫,塚本健,真鍋孝志,Home,163,53,13,32.5,13.25,23,9,3,39.1,6,1.50,80,2,4,29,11.1,87,50.0,0.0,57.5
163,53,13,32.5,13.25,23,9,3,39.1,6,1.50,80,2,4,29,11.1,87,50.0,0.0,57.5,527,2012-01-15,2012,01,15,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,久光製薬スプリングス,デンソーエアリービーズ,大東雅史,野中俊英,1,3,4,Lose,79,95,93,13:00,14:42,2200,,千代延靖夫,塚本健,真鍋孝志,Away,85,27,6,31.8,6.75,3,0,0,0.0,6,1.50,77,5,3,27,14.0,76,45.0,0.0,59.2
186,64,11,34.4,12.80,13,4,2,30.8,8,1.60,96,7,10,33,14.6,98,49.0,0.0,50.0,525,2012-01-15,2012,01,15,,ウカルちゃんアリーナ（滋賀県立体育館）,NECレッドロケッツ,JTマーヴェラス,山田晃豊,大村悟,2,3,5,Lose,95,105,116,13:05,15:13,3100,,山本和良,佐野裕基,野田達也,Home,176,68,11,38.6,13.60,16,7,1,43.8,12,2.40,104,2,5,48,13.3,85,46.0,0.0,54.1
176,68,11,38.6,13.60,16,7,1,43.8,12,2.40,104,2,5,48,13.3,85,46.0,0.0,54.1,525,2012-01-15,2012,01,15,,ウカルちゃんアリーナ（滋賀県立体育館）,JTマーヴェラス,NECレッドロケッツ,石原昭久,尾﨑侯,3,2,5,Win,105,95,116,13:05,15:13,3100,,山本和良,佐野裕基,野田達也,Away,186,64,11,34.4,12.80,13,4,2,30.8,8,1.60,96,7,10,33,14.6,98,49.0,0.0,50.0
145,46,4,31.7,15.33,2,1,0,50.0,9,3.00,73,2,3,22,9.7,57,39.0,0.0,68.4,528,2012-01-15,2012,01,15,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,岡山シーガルズ,パイオニアレッドウィングス,溝田知茂,吉田啓佑,3,0,3,Win,75,62,84,15:25,16:55,2500,,西中野健,HeungFaiLEE,真鍋美也子,Home,132,35,9,26.5,11.67,14,2,0,14.3,11,3.67,64,1,7,17,7.9,70,46.0,0.0,65.7
132,35,9,26.5,11.67,14,2,0,14.3,11,3.67,64,1,7,17,7.9,70,46.0,0.0,65.7,528,2012-01-15,2012,01,15,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,パイオニアレッドウィングス,岡山シーガルズ,宮下直樹,舟越悠二,0,3,3,Lose,62,75,84,15:25,16:55,2500,,西中野健,HeungFaiLEE,真鍋美也子,Away,145,46,4,31.7,15.33,2,1,0,50.0,9,3.00,73,2,3,22,9.7,57,39.0,0.0,68.4
