試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,21,,工藤嶺,4,■,■,■,■,nan,41,18,4,43.9,34.1,4.50,12,6,2,50.0,2,0.50,15,0,2,5,5.0,5,3,1,70.0,20
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,24,,兵頭由希,4,■,■,■,■,nan,37,10,1,27.0,24.3,2.50,4,1,0,25.0,0,-,22,2,2,5,12.5,19,6,6,47.4,12
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,168,65,6,38.7,35.1,16.25,21,8,2,38.1,10,2.50,97,3,10,23,6.4,75,39,21,66.0,78
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,1,,有田妃奈乃,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-,0
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,3,L,森田茉莉,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,14,9,66.1,0
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,6,,村上華澄,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,7,,合屋咲希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,8,,高相みな実,3,■,■,■,nan,nan,26,8,1,30.8,26.9,2.67,0,0,0,-,1,0.33,8,0,0,1,3.1,22,8,10,59.1,9
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,9,,山下遥香,4,■,■,■,□,nan,0,0,0,,,-,0,0,0,-,0,-,8,0,0,1,3.1,0,0,0,-,0
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,10,,綿引菜都美,4,■,■,■,■,nan,3,1,0,33.3,33.3,0.25,0,0,0,-,1,0.25,16,3,0,5,26.6,0,0,0,-,5
2021-10-16,PFUブルーキャッツ,デンソーエアリービーズ,1,3,0,11,,堀口あやか,3,□,□,nan,□,nan,14,5,0,35.7,35.7,1.67,0,0,0,-,0,-,5,0,1,1,0.0,6,1,1,25.0,5
