名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
野嶋華澄,NECレッドロケッツ,8,65,34,19,50,202,85,13,42.1,35.6,1,0,0,19,179,7,12,36,18,8,4,111,0.0,1.7,0.38,7.3,55.6
野本梨佳,久光スプリングス,8,37,19,11,23,230,71,16,30.9,23.9,18,4,1,6,64,6,9,16,63,17,19,83,22.2,3.09,0.26,12.1,42.1
金杉由香,KUROBEアクアフェアリーズ,4,16,79,3,69,518,145,44,28.0,19.5,53,15,5,6,192,5,20,62,334,129,81,156,28.3,2.1,0.09,8.1,50.7
金田修佳,岡山シーガルズ,18,44,59,11,99,1157,407,44,35.2,31.4,6,2,0,15,295,5,8,52,495,258,101,427,33.3,4.11,0.15,5.4,62.3
金田莉実,ヴィクトリーナ姫路,22,27,53,4,37,1,0,0,0.0,0.0,0,0,0,0,34,1,6,12,5,3,0,1,,0.0,0.0,7.4,60.0
鈴木千代,KUROBEアクアフェアリーズ,18,9,68,1,36,21,5,1,23.8,19.0,0,0,0,0,25,0,1,1,40,14,11,5,,0.14,0.0,0.0,48.8
鈴木日葵,埼玉上尾メディックス,4,15,15,4,3,9,4,1,44.4,33.3,0,0,0,1,7,0,2,1,1,0,1,5,,1.33,0.33,-3.6,50.0
鍋谷友理枝,PFUブルーキャッツ,15,44,56,11,91,767,271,28,35.3,31.7,1,1,0,22,312,14,24,81,601,243,141,307,100.0,2.98,0.24,9.1,52.2
鎌田咲希,埼玉上尾メディックス,17,43,36,12,36,7,4,0,57.1,57.1,0,0,0,0,66,2,8,18,1,0,0,6,,0.11,0.0,6.8,0.0
鏡原叶悠,PFUブルーキャッツ,5,16,12,5,4,0,0,0,,,0,0,0,0,0,0,0,0,3,2,1,0,,0.0,0.0,,83.3
長内美和子,日立Astemoリヴァーレ,3,48,63,12,111,1067,363,59,34.0,28.5,44,11,4,22,308,14,54,83,612,288,142,399,25.0,3.27,0.2,6.9,58.7
長岡望悠,久光スプリングス,1,6,3,2,9,35,12,2,34.3,28.6,5,0,1,0,5,0,0,0,1,0,0,12,0.0,1.33,0.0,0.0,0.0
長瀬そら,岡山シーガルズ,26,35,54,8,48,184,72,5,39.1,36.4,0,0,0,16,121,1,4,16,15,8,6,89,,1.5,0.33,3.3,73.3
長野有紗,ヴィクトリーナ姫路,5,31,55,4,61,202,81,17,40.1,31.7,0,0,0,22,173,10,23,48,24,17,2,113,,1.33,0.36,9.4,75.0
間橋香織,KUROBEアクアフェアリーズ,3,0,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
関菜々巳,東レアローズ,10,73,28,22,100,42,23,0,54.8,54.8,0,0,0,8,356,21,18,104,5,0,0,52,,0.23,0.08,11.9,0.0
雑賀恵斗,日立Astemoリヴァーレ,2,48,63,12,87,33,16,2,48.5,42.4,0,0,0,7,225,8,8,55,4,0,0,31,,0.18,0.08,8.8,0.0
青柳京古,埼玉上尾メディックス,11,57,46,16,100,392,167,14,42.6,39.0,0,0,0,27,286,8,20,55,21,9,8,202,,1.67,0.27,5.9,61.9
高柳有里,岡山シーガルズ,9,44,56,11,75,582,162,20,27.8,24.4,1,0,0,7,189,3,5,48,358,148,75,172,0.0,2.16,0.09,7.3,51.8
高橋愛莉,デンソーエアリービーズ,11,31,21,9,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
高橋茉莉奈,JTマーヴェラス,19,7,4,2,2,7,1,0,14.3,14.3,0,0,0,1,3,0,0,0,1,0,1,2,,0.5,0.5,0.0,50.0
高相みな実,PFUブルーキャッツ,8,44,56,11,40,261,85,14,32.6,27.2,2,0,0,3,100,10,12,23,231,91,60,98,0.0,2.12,0.08,12.8,52.4
高間来瞳,日立Astemoリヴァーレ,15,17,15,5,4,4,2,0,50.0,50.0,0,0,0,0,3,0,2,1,0,0,0,2,,0.5,0.0,-8.3,
鴫原ひなた,トヨタ車体クインシーズ,1,37,74,8,82,561,178,33,31.7,25.8,37,8,7,16,262,15,23,72,562,255,146,209,21.6,2.17,0.2,10.4,58.4
麻野七奈未,デンソーエアリービーズ,17,55,54,16,58,144,57,11,39.6,31.9,0,0,0,33,145,2,6,38,30,12,7,92,,0.98,0.57,6.9,51.7
黒須咲良,トヨタ車体クインシーズ,8,31,73,6,41,274,86,36,31.4,18.2,19,4,6,1,102,1,9,22,212,71,52,88,21.1,2.1,0.02,4.2,45.8
齋藤加奈子,日立Astemoリヴァーレ,7,48,63,12,81,0,0,0,,,0,0,0,0,0,0,0,0,323,161,68,0,,0.0,0.0,,60.4
